PLAYER,Team,TI,Runs,I. Runs,B. Impact,Bowl,I. Wkts,Bo. Impact
Vijay Shankar,GT,51.12,53(35),52.53,51.12,-,-,0
Mohammed Shami,GT,41.47,-,-,0,1/39,1.72,41.47
Vijaykumar Vyshak,RCB,32.04,-,-,0,1/40,1.38,32.04
Yash Dayal,GT,29.44,-,-,0,1/39,1.26,29.44
Faf du Plessis,RCB,26.94,28(19),28.64,26.94,-,-,0
Ravindra Jadeja,CSK,93.32,22(16),19.23,16.21,2/18,2.97,77.11
Ruturaj Gaikwad,CSK,75.34,60(44),68.23,75.34,-,-,0
Rashid Khan,GT,68.86,30(16),41.27,53.66,1/37,1.06,15.2
Deepak Chahar,CSK,64.31,-,-,0,2/29,3.11,64.31
Maheesh Theekshana,CSK,60.69,-,-,0,2/28,3.03,60.69
Mohammed Shami,GT,48.23,5(5),5.02,3.35,2/28,1.87,44.88
Noor Ahmad,GT,40.53,7(5),6.63,4.59,1/29,1.6,35.94
Mohit Sharma,GT,39.65,-,-,0,2/31,2,39.65
Shubman Gill,GT,31.77,42(38),38.19,31.77,-,-,0
Devon Conway,CSK,30.75,40(34),37.09,30.75,-,-,0
Matheesha Pathirana,CSK,26.61,-,-,0,2/37,1.77,26.61
Akash Madhwal,MI,99.71,-,-,0,5/5,5,99.71
Cameron Green,MI,84.95,41(23),57.46,75.09,0/15,-,9.86
Naveen-ul-Haq,LSG,84.52,1(5),1,0.26,4/38,5.27,84.25
Marcus Stoinis,LSG,64.61,40(27),53.07,64.61,-,-,0
Suryakumar Yadav,MI,55.67,33(20),44.26,55.67,-,-,0
Yash Thakur,LSG,45.66,-,-,0,3/34,2.77,45.66
Nehal Wadhera,MI,39.82,23(12),29.64,39.82,-,-,0
Kyle Mayers,LSG,26.77,18(13),22.34,26.77,-,-,0
Chris Jordan,MI,26.26,4(7),- 1.5,- 6.32,1/7,1.59,32.58
Tilak Varma,MI,23.28,26(22),25.23,23.28,-,-,0
Piyush Chawla,MI,19.82,-,-,0,1/28,1.11,19.82
Shubman Gill,GT,164.45,129(60),149.15,164.45,-,-,0
Tilak Varma,MI,92.34,43(14),67.02,92.34,-,-,0
Suryakumar Yadav,MI,56.48,61(38),63.08,56.48,-,-,0
Rashid Khan,GT,47.71,5(2),5.37,5.68,2/33,2.23,42.03
Mohit Sharma,GT,37.39,-,-,0,5/10,2.62,37.39
Mohammed Shami,GT,34.62,-,-,0,2/41,2.72,34.62
Jason Behrendorff,MI,31.92,3(5),3,2,0/28,-,29.92
Cameron Green,MI,30.91,30(20),31.06,29.65,0/35,-,1.26
Josh Little,GT,25.89,-,-,0,1/26,1.29,25.89
Hardik Pandya,GT,25.41,28(13),28.4,28.07,0/24,-,- 2.66
Akash Madhwal,MI,22.13,-,-,0,1/52,1.18,22.13
Sai Sudharsan,GT,107.5,96(47),100.86,107.5,-,-,0
Noor Ahmad,GT,103.82,-,-,0,2/17,3.83,103.82
Mohit Sharma,GT,91.49,-,-,0,3/36,4.7,91.49
Ravindra Jadeja,CSK,68.81,15(6),16.62,18.89,1/38,1.86,49.93
Devon Conway,CSK,53.87,47(25),52.12,53.87,-,-,0
Shubman Gill,GT,49.51,39(20),45.56,49.51,-,-,0
Ajinkya Rahane,CSK,33.12,27(13),29.55,33.12,-,-,0
Matheesha Pathirana,CSK,33,-,-,0,2/44,0.98,33
Deepak Chahar,CSK,29.62,-,-,0,1/38,0.86,29.62
Ambati Rayudu,CSK,26.06,19(8),21.42,26.06,-,-,0
Maheesh Theekshana,CSK,25.16,-,-,0,0/36,-,25.16
